x-axis,1,2,F1
second,Volt(source),Volt(right-side-cap),Volt(math)
-155.0000E-03,+5.0376634E+00,-11.8090E-03,+5.0450439E+00
-154.8450E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-154.6900E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-154.5350E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-154.3800E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-154.2250E-03,+4.9572614E+00,-52.0101E-03,+5.0450439E+00
-154.0700E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-153.9150E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-153.7600E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-153.6050E-03,+4.9974624E+00,-52.0101E-03,+5.0850830E+00
-153.4500E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-153.2950E-03,+4.9974624E+00,-52.0101E-03,+5.0850830E+00
-153.1400E-03,+4.9974624E+00,-52.0101E-03,+5.0850830E+00
-152.9850E-03,+4.9974624E+00,-92.2111E-03,+5.0450439E+00
-152.8300E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-152.6750E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-152.5200E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-152.3650E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-152.2100E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-152.0550E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-151.9000E-03,+5.0376634E+00,-52.0101E-03,+5.0850830E+00
-151.7450E-03,+5.0376634E+00,-11.8090E-03,+5.0450439E+00
-151.5900E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-151.4350E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-151.2800E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-151.1250E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-150.9700E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-150.8150E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-150.6600E-03,+4.9974624E+00,-52.0101E-03,+5.0450439E+00
-150.5050E-03,+4.9974624E+00,-11.8090E-03,+5.0450439E+00
-150.3500E-03,+5.0376634E+00,-52.0101E-03,+5.0850830E+00
-150.1950E-03,+4.9974624E+00,-52.0101E-03,+5.0850830E+00
-150.0400E-03,+5.0376634E+00,-52.0101E-03,+5.0450439E+00
-149.8850E-03,+12.5378E-03,-2.5042713E+00,+2.5225830E+00
-149.7300E-03,-27.6632E-03,-2.4238693E+00,+2.4024658E+00
-149.5750E-03,+12.5378E-03,-2.3434673E+00,+2.3223877E+00
-149.4200E-03,-27.6632E-03,-2.2630653E+00,+2.2423096E+00
-149.2650E-03,-27.6632E-03,-2.1826633E+00,+2.2022705E+00
-149.1100E-03,-27.6632E-03,-2.1022613E+00,+2.0821533E+00
-148.9550E-03,-27.6632E-03,-2.0620603E+00,+2.0421143E+00
-148.8000E-03,-27.6632E-03,-1.9414573E+00,+1.9219971E+00
-148.6450E-03,+12.5378E-03,-1.9012563E+00,+1.9219971E+00
-148.4900E-03,-27.6632E-03,-1.8610553E+00,+1.8419189E+00
-148.3350E-03,-27.6632E-03,-1.7806532E+00,+1.7618408E+00
-148.1800E-03,-27.6632E-03,-1.7404522E+00,+1.7218018E+00
-148.0250E-03,-27.6632E-03,-1.7002512E+00,+1.6817627E+00
-147.8700E-03,-27.6632E-03,-1.6198492E+00,+1.6016846E+00
-147.7150E-03,-27.6632E-03,-1.5796482E+00,+1.5616455E+00
-147.5600E-03,-27.6632E-03,-1.4992462E+00,+1.5216064E+00
-147.4050E-03,-27.6632E-03,-1.4590452E+00,+1.4415283E+00
-147.2500E-03,-27.6632E-03,-1.4188442E+00,+1.4014893E+00
-147.0950E-03,-27.6632E-03,-1.3786432E+00,+1.3214111E+00
-146.9400E-03,-27.6632E-03,-1.2982412E+00,+1.3214111E+00
-146.7850E-03,-27.6632E-03,-1.2982412E+00,+1.2813721E+00
-146.6300E-03,-27.6632E-03,-1.2580402E+00,+1.2012939E+00
-146.4750E-03,-27.6632E-03,-1.2178392E+00,+1.2012939E+00
-146.3200E-03,-27.6632E-03,-1.1374372E+00,+1.1212158E+00
-146.1650E-03,-27.6632E-03,-1.1374372E+00,+1.1212158E+00
-146.0100E-03,-27.6632E-03,-1.0570352E+00,+1.0811768E+00
-145.8550E-03,-27.6632E-03,-1.0570352E+00,+1.0411377E+00
-145.7000E-03,-67.8642E-03,-1.0168342E+00,+1.0010986E+00
-145.5450E-03,-27.6632E-03,-976.6332E-03,+961.0596E-03
-145.3900E-03,-27.6632E-03,-976.6332E-03,+961.0596E-03
-145.2350E-03,-27.6632E-03,-936.4322E-03,+921.0205E-03
-145.0800E-03,-27.6632E-03,-896.2311E-03,+840.9424E-03
-144.9250E-03,-67.8642E-03,-896.2311E-03,+840.9424E-03
-144.7700E-03,-27.6632E-03,-815.8291E-03,+800.9033E-03
-144.6150E-03,-27.6632E-03,-775.6281E-03,+800.9033E-03
-144.4600E-03,-67.8642E-03,-775.6281E-03,+760.8643E-03
-144.3050E-03,-27.6632E-03,-735.4271E-03,+720.8252E-03
-144.1500E-03,-27.6632E-03,-735.4271E-03,+760.8643E-03
