x-axis,1,2,F1
second,Volt,Volt,Volt
-27.00000E-03,-1.52763817E+00,-844.22110E-03,-722.83936E-03
-26.97300E-03,-1.56783918E+00,-844.22110E-03,-722.83936E-03
-26.94600E-03,-1.56783918E+00,-844.22110E-03,-722.83936E-03
-26.91900E-03,-1.60804018E+00,-844.22110E-03,-763.00049E-03
-26.89200E-03,-1.60804018E+00,-844.22110E-03,-763.00049E-03
-26.86500E-03,-1.60804018E+00,-844.22110E-03,-803.16162E-03
-26.83800E-03,-1.60804018E+00,-844.22110E-03,-803.16162E-03
-26.81100E-03,-1.64824119E+00,-844.22110E-03,-803.16162E-03
-26.78400E-03,-1.64824119E+00,-804.02009E-03,-843.32275E-03
-26.75700E-03,-1.68844219E+00,-844.22110E-03,-803.16162E-03
-26.73000E-03,-1.68844219E+00,-844.22110E-03,-843.32275E-03
-26.70300E-03,-1.72864320E+00,-884.42210E-03,-843.32275E-03
-26.67600E-03,-1.68844219E+00,-844.22110E-03,-843.32275E-03
-26.64900E-03,-1.72864320E+00,-844.22110E-03,-883.48389E-03
-26.62200E-03,-1.76884420E+00,-844.22110E-03,-883.48389E-03
-26.59500E-03,-1.72864320E+00,-844.22110E-03,-923.64502E-03
-26.56800E-03,-1.76884420E+00,-844.22110E-03,-923.64502E-03
-26.54100E-03,-1.80904521E+00,-884.42210E-03,-923.64502E-03
-26.51400E-03,-1.76884420E+00,-844.22110E-03,-923.64502E-03
-26.48700E-03,-1.80904521E+00,-884.42210E-03,-923.64502E-03
-26.46000E-03,-1.84924621E+00,-884.42210E-03,-963.80615E-03
-26.43300E-03,-1.80904521E+00,-884.42210E-03,-923.64502E-03
-26.40600E-03,-1.84924621E+00,-884.42210E-03,-963.80615E-03
-26.37900E-03,-1.88944722E+00,-844.22110E-03,-1.00396729E+00
-26.35200E-03,-1.88944722E+00,-884.42210E-03,-1.00396729E+00
-26.32500E-03,-1.88944722E+00,-884.42210E-03,-1.00396729E+00
-26.29800E-03,-1.88944722E+00,-844.22110E-03,-1.04412842E+00
-26.27100E-03,-1.88944722E+00,-884.42210E-03,-1.04412842E+00
-26.24400E-03,-1.92964822E+00,-884.42210E-03,-1.00396729E+00
-26.21700E-03,-1.92964822E+00,-884.42210E-03,-1.04412842E+00
-26.19000E-03,-1.96984923E+00,-884.42210E-03,-1.08428955E+00
-26.16300E-03,-1.96984923E+00,-884.42210E-03,-1.08428955E+00
-26.13600E-03,-1.96984923E+00,-924.62311E-03,-1.08428955E+00
-26.10900E-03,-1.96984923E+00,-884.42210E-03,-1.08428955E+00
-26.08200E-03,-1.96984923E+00,-884.42210E-03,-1.12445068E+00
-26.05500E-03,-2.01005023E+00,-884.42210E-03,-1.12445068E+00
-26.02800E-03,-2.01005023E+00,-924.62311E-03,-1.12445068E+00
-26.00100E-03,-2.05025123E+00,-884.42210E-03,-1.16461182E+00
-25.97400E-03,-2.05025123E+00,-924.62311E-03,-1.16461182E+00
-25.94700E-03,-2.05025123E+00,-924.62311E-03,-1.16461182E+00
-25.92000E-03,-2.09045224E+00,-924.62311E-03,-1.16461182E+00
-25.89300E-03,-2.09045224E+00,-924.62311E-03,-1.16461182E+00
-25.86600E-03,-2.09045224E+00,-924.62311E-03,-1.20477295E+00
-25.83900E-03,-2.13065324E+00,-884.42210E-03,-1.20477295E+00
-25.81200E-03,-2.17085425E+00,-884.42210E-03,-1.20477295E+00
-25.78500E-03,-2.17085425E+00,-884.42210E-03,-1.24493408E+00
-25.75800E-03,-2.17085425E+00,-964.82411E-03,-1.28509521E+00
-25.73100E-03,-2.21105525E+00,-964.82411E-03,-1.28509521E+00
-25.70400E-03,-2.21105525E+00,-924.62311E-03,-1.28509521E+00
-25.67700E-03,-2.21105525E+00,-884.42210E-03,-1.28509521E+00
-25.65000E-03,-2.21105525E+00,-924.62311E-03,-1.32525635E+00
-25.62300E-03,-2.25125626E+00,-884.42210E-03,-1.32525635E+00
-25.59600E-03,-2.21105525E+00,-924.62311E-03,-1.32525635E+00
-25.56900E-03,-2.25125626E+00,-924.62311E-03,-1.36541748E+00
-25.54200E-03,-2.25125626E+00,-924.62311E-03,-1.36541748E+00
-25.51500E-03,-2.29145726E+00,-924.62311E-03,-1.36541748E+00
-25.48800E-03,-2.25125626E+00,-964.82411E-03,-1.32525635E+00
-25.46100E-03,-2.33165827E+00,-924.62311E-03,-1.36541748E+00
-25.43400E-03,-2.33165827E+00,-884.42210E-03,-1.44573975E+00
-25.40700E-03,-2.33165827E+00,-924.62311E-03,-1.36541748E+00
-25.38000E-03,-2.33165827E+00,-924.62311E-03,-1.40557861E+00
-25.35300E-03,-2.37185927E+00,-924.62311E-03,-1.44573975E+00
-25.32600E-03,-2.37185927E+00,-924.62311E-03,-1.44573975E+00
-25.29900E-03,-2.41206028E+00,-964.82411E-03,-1.44573975E+00
-25.27200E-03,-2.41206028E+00,-964.82411E-03,-1.44573975E+00
-25.24500E-03,-2.45226128E+00,-924.62311E-03,-1.48590088E+00
-25.21800E-03,-2.45226128E+00,-924.62311E-03,-1.48590088E+00
-25.19100E-03,-2.45226128E+00,-924.62311E-03,-1.48590088E+00
-25.16400E-03,-2.45226128E+00,-964.82411E-03,-1.52606201E+00
-25.13700E-03,-2.49246228E+00,-924.62311E-03,-1.52606201E+00
-25.11000E-03,-2.49246228E+00,-964.82411E-03,-1.52606201E+00
-25.08300E-03,-2.53266329E+00,-964.82411E-03,-1.56622314E+00
-25.05600E-03,-2.53266329E+00,-964.82411E-03,-1.56622314E+00
-25.02900E-03,-2.53266329E+00,-964.82411E-03,-1.60638428E+00
-25.00200E-03,-2.53266329E+00,-964.82411E-03,-1.60638428E+00
-24.97500E-03,-2.61306530E+00,-964.82411E-03,-1.60638428E+00
-24.94800E-03,-2.57286429E+00,-924.62311E-03,-1.60638428E+00
-24.92100E-03,-2.57286429E+00,-924.62311E-03,-1.64654541E+00
-24.89400E-03,-2.57286429E+00,-924.62311E-03,-1.60638428E+00
-24.86700E-03,-2.53266329E+00,-884.42210E-03,-1.60638428E+00
-24.84000E-03,-2.49246228E+00,-884.42210E-03,-1.60638428E+00
-24.81300E-03,-2.53266329E+00,-884.42210E-03,-1.60638428E+00
-24.78600E-03,-2.45226128E+00,-884.42210E-03,-1.60638428E+00
-24.75900E-03,-2.49246228E+00,-884.42210E-03,-1.60638428E+00
-24.73200E-03,-2.45226128E+00,-844.22110E-03,-1.60638428E+00
-24.70500E-03,-2.45226128E+00,-844.22110E-03,-1.60638428E+00
-24.67800E-03,-2.45226128E+00,-844.22110E-03,-1.60638428E+00
-24.65100E-03,-2.37185927E+00,-804.02009E-03,-1.56622314E+00
-24.62400E-03,-2.37185927E+00,-804.02009E-03,-1.60638428E+00
-24.59700E-03,-2.37185927E+00,-804.02009E-03,-1.56622314E+00
-24.57000E-03,-2.37185927E+00,-763.81909E-03,-1.56622314E+00
-24.54300E-03,-2.37185927E+00,-763.81909E-03,-1.56622314E+00
-24.51600E-03,-2.37185927E+00,-763.81909E-03,-1.56622314E+00
-24.48900E-03,-2.33165827E+00,-763.81909E-03,-1.56622314E+00
-24.46200E-03,-2.29145726E+00,-723.61808E-03,-1.56622314E+00
-24.43500E-03,-2.29145726E+00,-723.61808E-03,-1.56622314E+00
-24.40800E-03,-2.29145726E+00,-723.61808E-03,-1.56622314E+00
-24.38100E-03,-2.29145726E+00,-723.61808E-03,-1.56622314E+00
-24.35400E-03,-2.25125626E+00,-723.61808E-03,-1.60638428E+00
