x-axis,F1
second,Volt
-4.190000E-03,+15.263762E-03
-4.185400E-03,+15.263762E-03
-4.180800E-03,+15.263762E-03
-4.176200E-03,+82.064994E-03
-4.171600E-03,+48.691111E-03
-4.167000E-03,+55.247630E-03
-4.162400E-03,+28.471419E-03
-4.157800E-03,+15.134670E-03
-4.153200E-03,+75.391937E-03
-4.148600E-03,+15.134670E-03
-4.144000E-03,+95.432524E-03
-4.139400E-03,+75.473800E-03
-4.134800E-03,+21.794463E-03
-4.130200E-03,+28.635694E-03
-4.125600E-03,+75.361259E-03
-4.121000E-03,+82.188117E-03
-4.116400E-03,+15.134670E-03
-4.111800E-03,+35.037904E-03
-4.107200E-03,+82.218898E-03
-4.102600E-03,+28.697256E-03
-4.098000E-03,+55.093727E-03
-4.093400E-03,+28.317515E-03
-4.088800E-03,+15.134670E-03
-4.084200E-03,+15.134670E-03
-4.079600E-03,+61.971913E-03
-4.075000E-03,+81.808377E-03
-4.070400E-03,-4.747359E-03
-4.065800E-03,+82.311240E-03
-4.061200E-03,+28.789598E-03
-4.056600E-03,+35.134694E-03
-4.052000E-03,+95.432524E-03
-4.047400E-03,+28.820379E-03
-4.042800E-03,+95.432524E-03
-4.038200E-03,-24.879979E-03
-4.033600E-03,+48.536692E-03
-4.029000E-03,-5.043966E-03
-4.024400E-03,+95.432524E-03
-4.019800E-03,+81.685254E-03
-4.015200E-03,+34.715067E-03
-4.010600E-03,+95.432524E-03
-4.006000E-03,+8.268685E-03
-4.001400E-03,-4.670665E-03
-3.996800E-03,+28.102050E-03
-3.992200E-03,+55.417874E-03
-3.987600E-03,-5.089983E-03
-3.983000E-03,+21.624603E-03
-3.978400E-03,-4.143704E-03
-3.973800E-03,+15.134670E-03
-3.969200E-03,+55.417874E-03
-3.964600E-03,+29.005063E-03
-3.960000E-03,+54.785920E-03
-3.955400E-03,+28.009708E-03
-3.950800E-03,+15.134670E-03
-3.946200E-03,+36.068076E-03
-3.941600E-03,+8.734020E-03
-3.937000E-03,-4.005346E-03
-3.932400E-03,+55.842836E-03
-3.927800E-03,+48.989709E-03
-3.923200E-03,+41.455139E-03
-3.918600E-03,+15.858967E-03
-3.914000E-03,+89.062551E-03
-3.909400E-03,-17.906622E-03
-3.904800E-03,-5.182016E-03
-3.900200E-03,+76.325975E-03
-3.895600E-03,-17.891283E-03
-3.891000E-03,+54.632016E-03
-3.886400E-03,+95.432524E-03
-3.881800E-03,+95.432524E-03
-3.877200E-03,-24.879979E-03
-3.872600E-03,+15.134670E-03
-3.868000E-03,+15.134670E-03
-3.863400E-03,+75.780577E-03
-3.858800E-03,+21.485627E-03
-3.854200E-03,-10.763341E-03
-3.849600E-03,+75.054481E-03
-3.845000E-03,+21.470185E-03
-3.840400E-03,+55.417874E-03
-3.835800E-03,+35.664920E-03
-3.831200E-03,-18.602040E-03
-3.826600E-03,-24.879979E-03
-3.822000E-03,+55.417874E-03
-3.817400E-03,+55.417874E-03
-3.812800E-03,+74.142814E-03
-3.808200E-03,+35.695803E-03
-3.803600E-03,+27.671120E-03
-3.799000E-03,+22.278363E-03
-3.794400E-03,+14.401902E-03
-3.789800E-03,+49.144127E-03
-3.785200E-03,+15.134670E-03
-3.780600E-03,+35.726687E-03
-3.776000E-03,+49.159569E-03
-3.771400E-03,+15.134670E-03
-3.766800E-03,+15.134670E-03
-3.762200E-03,+42.973766E-03
-3.757600E-03,+48.227856E-03
-3.753000E-03,-24.879979E-03
-3.748400E-03,-12.466652E-03
-3.743800E-03,+29.497554E-03
-3.739200E-03,+15.134670E-03
-3.734600E-03,+76.879410E-03
-3.730000E-03,+95.432524E-03
-3.725400E-03,+95.432524E-03
-3.720800E-03,+15.134670E-03
-3.716200E-03,+15.134670E-03
-3.711600E-03,+95.432524E-03
-3.707000E-03,+49.236778E-03
-3.702400E-03,+15.134670E-03
-3.697800E-03,+54.201086E-03
-3.693200E-03,+61.542424E-03
-3.688600E-03,+15.134670E-03
-3.684000E-03,+35.834780E-03
-3.679400E-03,+21.284883E-03
-3.674800E-03,-24.879979E-03
-3.670200E-03,+15.134670E-03
-3.665600E-03,-18.786107E-03
-3.661000E-03,+48.119763E-03
-3.656400E-03,+15.134670E-03
-3.651800E-03,+95.432524E-03
-3.647200E-03,-24.879979E-03
-3.642600E-03,+33.469838E-03
-3.638000E-03,+89.369329E-03
-3.633400E-03,-17.599844E-03
-3.628800E-03,+54.047182E-03
-3.624200E-03,-6.695823E-03
-3.619600E-03,+48.073437E-03
-3.615000E-03,+54.016402E-03
-3.610400E-03,+83.327003E-03
-3.605800E-03,+80.761832E-03
-3.601200E-03,+53.985621E-03
-3.596600E-03,-24.879979E-03
-3.592000E-03,+7.808519E-03
-3.587400E-03,+56.612354E-03
-3.582800E-03,-6.834182E-03
-3.578200E-03,+29.866923E-03
-3.573600E-03,+15.134670E-03
-3.569000E-03,+43.404696E-03
-3.564400E-03,-24.879979E-03
-3.559800E-03,+37.359424E-03
-3.555200E-03,+61.389035E-03
-3.550600E-03,+29.928484E-03
-3.546000E-03,+53.862498E-03
-3.541400E-03,+15.134670E-03
-3.536800E-03,-2.667877E-03
-3.532200E-03,+74.701687E-03
-3.527600E-03,+21.115023E-03
-3.523000E-03,-10.024604E-03
-3.518400E-03,+15.134670E-03
-3.513800E-03,+15.134670E-03
-3.509200E-03,+30.020826E-03
-3.504600E-03,+56.797038E-03
-3.500000E-03,+83.573249E-03
-3.495400E-03,-17.446455E-03
-3.490800E-03,+16.813169E-03
-3.486200E-03,+95.432524E-03
-3.481600E-03,+15.134670E-03
-3.477000E-03,+32.916402E-03
-3.472400E-03,+26.932383E-03
-3.467800E-03,+15.134670E-03
-3.463200E-03,+36.081849E-03
-3.458600E-03,+21.037813E-03
-3.454000E-03,+15.134670E-03
-3.449400E-03,+13.632384E-03
-3.444800E-03,+77.847922E-03
-3.440200E-03,+22.679851E-03
-3.435600E-03,+53.616252E-03
-3.431000E-03,+89.599412E-03
-3.426400E-03,+72.851465E-03
-3.421800E-03,+32.731924E-03
-3.417200E-03,+95.432524E-03
-3.412600E-03,+7.609113E-03
-3.408000E-03,+57.012503E-03
-3.403400E-03,+9.332237E-03
-3.398800E-03,+15.134670E-03
-3.394200E-03,+37.912860E-03
-3.389600E-03,+83.819495E-03
-3.385000E-03,+80.269341E-03
-3.380400E-03,+57.074064E-03
-3.375800E-03,+26.716918E-03
-3.371200E-03,-2.114442E-03
-3.366600E-03,+15.134670E-03
-3.362000E-03,+95.432524E-03
-3.357400E-03,+87.845611E-03
-3.352800E-03,+74.502281E-03
-3.348200E-03,+49.638266E-03
-3.343600E-03,+30.390195E-03
-3.339000E-03,-3.934398E-03
-3.334400E-03,+15.134670E-03
-3.329800E-03,-4.906398640E+00
-3.325200E-03,-4.969422076E+00
-3.320600E-03,-4.940702889E+00
-3.316000E-03,-4.906398640E+00
-3.311400E-03,-4.826100786E+00
-3.306800E-03,-4.826100786E+00
-3.302200E-03,-4.745802933E+00
-3.297600E-03,-4.724811335E+00
-3.293000E-03,-4.556590141E+00
-3.288400E-03,-4.545192577E+00
-3.283800E-03,-4.464894724E+00
-3.279200E-03,-4.453527941E+00
-3.274600E-03,-4.319708446E+00
-3.270000E-03,-4.266186804E+00
-3.265400E-03,-4.155039313E+00
-3.260800E-03,-4.143703311E+00
-3.256200E-03,-4.063405457E+00
-3.251600E-03,-3.983107604E+00
-3.247000E-03,-3.902809751E+00
-3.242400E-03,-3.822511897E+00
-3.237800E-03,-3.707817762E+00
-3.233200E-03,-3.677417961E+00
-3.228600E-03,-3.581618337E+00
-3.224000E-03,-3.501320484E+00
-3.219400E-03,-3.501320484E+00
-3.214800E-03,-3.421022631E+00
-3.210200E-03,-3.260426924E+00
-3.205600E-03,-3.180129071E+00
-3.201000E-03,-3.180129071E+00
-3.196400E-03,-3.099831218E+00
-3.191800E-03,-3.019533364E+00
-3.187200E-03,-2.939235511E+00
-3.182600E-03,-2.858937658E+00
-3.178000E-03,-2.778639804E+00
-3.173400E-03,-2.778639804E+00
-3.168800E-03,-2.698341951E+00
-3.164200E-03,-2.618044098E+00
-3.159600E-03,-2.537746245E+00
-3.155000E-03,-2.537746245E+00
-3.150400E-03,-2.457448391E+00
-3.145800E-03,-2.377150538E+00
-3.141200E-03,-2.296852685E+00
-3.136600E-03,-2.296852685E+00
-3.132000E-03,-2.216554831E+00
-3.127400E-03,-2.216554831E+00
-3.122800E-03,-2.136256978E+00
-3.118200E-03,-2.055959125E+00
-3.113600E-03,-2.055959125E+00
-3.109000E-03,-1.975661271E+00
-3.104400E-03,-1.951914570E+00
-3.099800E-03,-1.929913089E+00
-3.095200E-03,-1.815065565E+00
-3.090600E-03,-1.836287246E+00
-3.086000E-03,-1.740217351E+00
-3.081400E-03,-1.702431176E+00
-3.076800E-03,-1.675706878E+00
-3.072200E-03,-1.625091726E+00
-3.067600E-03,-1.614186654E+00
-3.063000E-03,-1.515126510E+00
-3.058400E-03,-1.464465239E+00
-3.053800E-03,-1.453590948E+00
-3.049200E-03,-1.434843996E+00
-3.044600E-03,-1.442747437E+00
-3.040000E-03,-1.373293094E+00
-3.035400E-03,-1.309301146E+00
-3.030800E-03,-1.292995241E+00
-3.026200E-03,-1.292995241E+00
-3.021600E-03,-1.212697388E+00
-3.017000E-03,-1.178055683E+00
-3.012400E-03,-1.212697388E+00
-3.007800E-03,-1.132399534E+00
-3.003200E-03,-1.132399534E+00
-2.998600E-03,-1.132399534E+00
-2.994000E-03,-1.009300427E+00
-2.989400E-03,-1.052101681E+00
-2.984800E-03,-987.859651E-03
-2.980200E-03,-971.803828E-03
-2.975600E-03,-971.803828E-03
-2.971000E-03,-907.592579E-03
-2.966400E-03,-891.505974E-03
-2.961800E-03,-891.505974E-03
-2.957200E-03,-875.388590E-03
-2.952600E-03,-811.208121E-03
-2.948000E-03,-811.208121E-03
-2.943400E-03,-811.208121E-03
-2.938800E-03,-773.834645E-03
-2.934200E-03,-741.507533E-03
-2.929600E-03,-730.910268E-03
-2.925000E-03,-693.567572E-03
-2.920400E-03,-650.612415E-03
-2.915800E-03,-714.700541E-03
-2.911200E-03,-650.612415E-03
-2.906600E-03,-650.612415E-03
-2.902000E-03,-634.371907E-03
-2.897400E-03,-650.612415E-03
-2.892800E-03,-559.809638E-03
-2.888200E-03,-570.314561E-03
-2.883600E-03,-570.314561E-03
-2.879000E-03,-570.314561E-03
-2.874400E-03,-490.016708E-03
-2.869800E-03,-545.783827E-03
-2.865200E-03,-530.031357E-03
-2.860600E-03,-521.892245E-03
-2.856000E-03,-490.016708E-03
-2.851400E-03,-444.544626E-03
-2.846800E-03,-513.667727E-03
-2.842200E-03,-431.216635E-03
-2.837600E-03,-420.100655E-03
-2.833000E-03,-409.718855E-03
-2.828400E-03,-409.718855E-03
-2.823800E-03,-449.733504E-03
-2.819200E-03,-329.421001E-03
-2.814600E-03,-428.205045E-03
-2.810000E-03,-334.563863E-03
-2.805400E-03,-329.421001E-03
-2.800800E-03,-329.421001E-03
-2.796200E-03,-329.421001E-03
-2.791600E-03,-329.421001E-03
-2.787000E-03,-326.172686E-03
-2.782400E-03,-329.421001E-03
-2.777800E-03,-257.354294E-03
-2.773200E-03,-270.697623E-03
-2.768600E-03,-249.123148E-03
-2.764000E-03,-257.369633E-03
-2.759400E-03,-224.223457E-03
-2.754800E-03,-254.204654E-03
-2.750200E-03,-280.875974E-03
-2.745600E-03,-245.782490E-03
-2.741000E-03,-278.971462E-03
-2.736400E-03,-264.250759E-03
-2.731800E-03,-233.831874E-03
-2.727200E-03,-203.789116E-03
-2.722600E-03,-208.839944E-03
-2.718000E-03,-208.839944E-03
-2.713400E-03,-173.860784E-03
-2.708800E-03,-177.133135E-03
-2.704200E-03,-208.839944E-03
-2.699600E-03,-208.839944E-03
-2.695000E-03,-208.839944E-03
-2.690400E-03,-190.491803E-03
-2.685800E-03,-208.839944E-03
-2.681200E-03,-208.839944E-03
-2.676600E-03,-190.507142E-03
-2.672000E-03,-88.527441E-03
-2.667400E-03,-128.542091E-03
-2.662800E-03,-110.224628E-03
-2.658200E-03,-88.527441E-03
-2.653600E-03,-200.470748E-03
-2.649000E-03,-172.112863E-03
-2.644400E-03,-138.492961E-03
-2.639800E-03,-88.527441E-03
-2.635200E-03,-128.542091E-03
-2.630600E-03,-128.542091E-03
-2.626000E-03,-128.542091E-03
-2.621400E-03,-106.798888E-03
-2.616800E-03,-78.638133E-03
-2.612200E-03,-96.942654E-03
-2.607600E-03,-106.783549E-03
-2.603000E-03,-128.542091E-03
-2.598400E-03,-120.111539E-03
-2.593800E-03,-73.697364E-03
-2.589200E-03,-22.954774E-03
-2.584600E-03,-128.542091E-03
-2.580000E-03,-128.542091E-03
-2.575400E-03,-113.863024E-03
-2.570800E-03,-8.229588E-03
-2.566200E-03,-26.439679E-03
-2.561600E-03,-48.244237E-03
-2.557000E-03,-48.244237E-03
-2.552400E-03,-48.244237E-03
-2.547800E-03,-48.244237E-03
-2.543200E-03,-16.721495E-03
-2.538600E-03,-48.244237E-03
-2.534000E-03,-48.244237E-03
