x-axis,F1
second,Volt
-6.539000E-03,+2.059587938E+00
-6.535600E-03,+1.927698240E+00
-6.532200E-03,+1.847375974E+00
-6.528800E-03,+1.693559044E+00
-6.525400E-03,+1.527049863E+00
-6.522000E-03,+1.590828071E+00
-6.518600E-03,+1.315319375E+00
-6.515200E-03,+1.307528822E+00
-6.511800E-03,+1.145362280E+00
-6.508400E-03,+1.044153318E+00
-6.505000E-03,+883.508787E-03
-6.501600E-03,+803.186521E-03
-6.498200E-03,+781.818349E-03
-6.494800E-03,+576.278819E-03
-6.491400E-03,+562.219724E-03
-6.488000E-03,+401.575193E-03
-6.484600E-03,+321.252927E-03
-6.481200E-03,+240.930662E-03
-6.477800E-03,+160.608396E-03
-6.474400E-03,-36.135E-06
-6.471000E-03,-80.358401E-03
-6.467600E-03,-205.094190E-03
-6.464200E-03,-321.325198E-03
-6.460800E-03,-380.356875E-03
-6.457400E-03,-481.969729E-03
-6.454000E-03,-562.291995E-03
-6.450600E-03,-642.614260E-03
-6.447200E-03,-722.936526E-03
-6.443800E-03,-818.513589E-03
-6.440400E-03,-941.339448E-03
-6.437000E-03,-1.014352636E+00
-6.433600E-03,-1.087365825E+00
-6.430200E-03,-1.124547854E+00
-6.426800E-03,-1.256670304E+00
-6.423400E-03,-1.263979381E+00
-6.420000E-03,-1.431932989E+00
-6.416600E-03,-1.439242067E+00
-6.413200E-03,-1.526159182E+00
-6.409800E-03,-1.534182487E+00
-6.406400E-03,-1.591149066E+00
-6.403000E-03,-1.629122907E+00
-6.399600E-03,-1.737175443E+00
-6.396200E-03,-1.767125979E+00
-6.392800E-03,-1.767125979E+00
-6.389400E-03,-1.847448245E+00
-6.386000E-03,-1.906635090E+00
-6.382600E-03,-1.927770510E+00
-6.379200E-03,-2.081897775E+00
-6.375800E-03,-2.008092776E+00
-6.372400E-03,-2.016193664E+00
-6.369000E-03,-2.088415042E+00
-6.365600E-03,-2.146018265E+00
-6.362200E-03,-2.168737307E+00
-6.358800E-03,-2.168737307E+00
-6.355400E-03,-2.168737307E+00
-6.352000E-03,-2.249059573E+00
-6.348600E-03,-2.249059573E+00
