x-axis,F1
second,Volt
-3.375800E-03,+89.660768E-03
-3.371200E-03,+95.432524E-03
-3.366600E-03,-5.780233E-03
-3.362000E-03,+9.378253E-03
-3.357400E-03,+87.845611E-03
-3.352800E-03,+53.431568E-03
-3.348200E-03,+95.432524E-03
-3.343600E-03,+22.787944E-03
-3.339000E-03,+95.432524E-03
-3.334400E-03,+61.143613E-03
-3.329800E-03,-4.906398640E+00
-3.325200E-03,-4.906398640E+00
-3.320600E-03,-4.940702889E+00
-3.316000E-03,-4.891081553E+00
-3.311400E-03,-4.826100786E+00
-3.306800E-03,-4.791781198E+00
-3.302200E-03,-4.745802933E+00
-3.297600E-03,-4.703678855E+00
-3.293000E-03,-4.665505080E+00
-3.288400E-03,-4.552856184E+00
-3.283800E-03,-4.547064232E+00
-3.279200E-03,-4.504909373E+00
-3.274600E-03,-4.440020948E+00
-3.270000E-03,-4.403589244E+00
-3.265400E-03,-4.304299017E+00
-3.260800E-03,-4.224001164E+00
-3.256200E-03,-4.245038778E+00
-3.251600E-03,-4.218329648E+00
-3.247000E-03,-4.071115081E+00
-3.242400E-03,-4.025354805E+00
-3.237800E-03,-3.988725971E+00
-3.233200E-03,-3.902809751E+00
-3.228600E-03,-3.881600061E+00
-3.224000E-03,-3.822511897E+00
-3.219400E-03,-3.774488392E+00
-3.214800E-03,-3.744239603E+00
-3.210200E-03,-3.701930840E+00
-3.205600E-03,-3.597181669E+00
-3.201000E-03,-3.564758997E+00
-3.196400E-03,-3.501320484E+00
-3.191800E-03,-3.421022631E+00
-3.187200E-03,-3.439922971E+00
-3.182600E-03,-3.380739427E+00
-3.178000E-03,-3.340724778E+00
-3.173400E-03,-3.260426924E+00
-3.168800E-03,-3.289321036E+00
-3.164200E-03,-3.180129071E+00
-3.159600E-03,-3.161132766E+00
-3.155000E-03,-3.134319533E+00
-3.150400E-03,-3.027350360E+00
-3.145800E-03,-3.017085347E+00
-3.141200E-03,-2.944746506E+00
-3.136600E-03,-2.898952307E+00
-3.132000E-03,-2.880113322E+00
-3.127400E-03,-2.887924112E+00
-3.122800E-03,-2.818654454E+00
-3.118200E-03,-2.776130226E+00
-3.113600E-03,-2.738356600E+00
-3.109000E-03,-2.730493588E+00
-3.104400E-03,-2.639250440E+00
-3.099800E-03,-2.658058747E+00
-3.095200E-03,-2.577760894E+00
-3.090600E-03,-2.540048830E+00
-3.086000E-03,-2.497463041E+00
-3.081400E-03,-2.497463041E+00
-3.076800E-03,-2.459781757E+00
-3.072200E-03,-2.417165187E+00
-3.067600E-03,-2.417165187E+00
-3.063000E-03,-2.336867334E+00
-3.058400E-03,-2.336867334E+00
-3.053800E-03,-2.320965414E+00
-3.049200E-03,-2.256569481E+00
-3.044600E-03,-2.187115138E+00
-3.040000E-03,-2.176271627E+00
-3.035400E-03,-2.176271627E+00
-3.030800E-03,-2.176271627E+00
-3.026200E-03,-2.095973774E+00
-3.021600E-03,-2.095973774E+00
-3.017000E-03,-2.085191825E+00
-3.012400E-03,-2.015675921E+00
-3.007800E-03,-2.015675921E+00
-3.003200E-03,-1.935378067E+00
-2.998600E-03,-1.935378067E+00
-2.994000E-03,-1.935378067E+00
-2.989400E-03,-1.924657680E+00
-2.984800E-03,-1.855080214E+00
-2.980200E-03,-1.855080214E+00
-2.975600E-03,-1.774782361E+00
-2.971000E-03,-1.782798762E+00
-2.966400E-03,-1.774782361E+00
-2.961800E-03,-1.774782361E+00
-2.957200E-03,-1.758664976E+00
-2.952600E-03,-1.694484507E+00
-2.948000E-03,-1.683856462E+00
-2.943400E-03,-1.678336342E+00
-2.938800E-03,-1.614186654E+00
-2.934200E-03,-1.614186654E+00
-2.929600E-03,-1.558130165E+00
-2.925000E-03,-1.614186654E+00
-2.920400E-03,-1.533888801E+00
-2.915800E-03,-1.533888801E+00
-2.911200E-03,-1.453590948E+00
-2.906600E-03,-1.453590948E+00
-2.902000E-03,-1.453590948E+00
-2.897400E-03,-1.410574228E+00
-2.892800E-03,-1.383798017E+00
-2.888200E-03,-1.365184660E+00
-2.883600E-03,-1.373293094E+00
-2.879000E-03,-1.378512650E+00
-2.874400E-03,-1.309297310E+00
-2.869800E-03,-1.292995241E+00
-2.865200E-03,-1.292995241E+00
-2.860600E-03,-1.292995241E+00
-2.856000E-03,-1.249886180E+00
-2.851400E-03,-1.212697388E+00
-2.846800E-03,-1.212697388E+00
-2.842200E-03,-1.231214256E+00
-2.837600E-03,-1.142781334E+00
-2.833000E-03,-1.196302976E+00
-2.828400E-03,-1.169526765E+00
-2.823800E-03,-1.132399534E+00
-2.819200E-03,-1.132399534E+00
-2.814600E-03,-1.095303084E+00
-2.810000E-03,-1.052101681E+00
-2.805400E-03,-1.052101681E+00
-2.800800E-03,-1.070572533E+00
-2.796200E-03,-1.052101681E+00
-2.791600E-03,-1.052101681E+00
-2.787000E-03,-1.015066793E+00
-2.782400E-03,-982.062505E-03
-2.777800E-03,-1.003587331E+00
-2.773200E-03,-971.803828E-03
-2.768600E-03,-971.803828E-03
-2.764000E-03,-980.050312E-03
-2.759400E-03,-934.830501E-03
-2.754800E-03,-906.784596E-03
-2.750200E-03,-891.505974E-03
-2.745600E-03,-891.505974E-03
-2.741000E-03,-821.374456E-03
-2.736400E-03,-874.896098E-03
-2.731800E-03,-888.134536E-03
-2.727200E-03,-856.307497E-03
-2.722600E-03,-851.222770E-03
-2.718000E-03,-811.208121E-03
-2.713400E-03,-846.187281E-03
-2.708800E-03,-747.581706E-03
-2.704200E-03,-811.208121E-03
-2.699600E-03,-746.004411E-03
-2.695000E-03,-739.233447E-03
-2.690400E-03,-752.576776E-03
-2.685800E-03,-730.910268E-03
-2.681200E-03,-730.910268E-03
-2.676600E-03,-730.910268E-03
-2.672000E-03,-735.899740E-03
-2.667400E-03,-714.146488E-03
-2.662800E-03,-752.607454E-03
-2.658200E-03,-650.612415E-03
-2.653600E-03,-714.115707E-03
-2.649000E-03,-668.914539E-03
-2.644400E-03,-650.612415E-03
-2.639800E-03,-682.242529E-03
-2.635200E-03,-650.612415E-03
-2.630600E-03,-640.692325E-03
-2.626000E-03,-682.227190E-03
-2.621400E-03,-592.057764E-03
-2.616800E-03,-605.401094E-03
-2.612200E-03,-578.729774E-03
-2.607600E-03,-570.314561E-03
-2.603000E-03,-570.314561E-03
-2.598400E-03,-570.314561E-03
-2.593800E-03,-592.088442E-03
-2.589200E-03,-570.314561E-03
-2.584600E-03,-570.314561E-03
-2.580000E-03,-511.805928E-03
-2.575400E-03,-494.898808E-03
-2.570800E-03,-498.477937E-03
-2.566200E-03,-526.559105E-03
-2.561600E-03,-530.031357E-03
-2.557000E-03,-449.733504E-03
-2.552400E-03,-508.211460E-03
-2.547800E-03,-490.016708E-03
-2.543200E-03,-481.467808E-03
-2.538600E-03,-446.199690E-03
-2.534000E-03,-485.148167E-03
-2.529400E-03,-418.226100E-03
-2.524800E-03,-427.882929E-03
-2.520200E-03,-409.718855E-03
-2.515600E-03,-418.241439E-03
-2.511000E-03,-409.718855E-03
-2.506400E-03,-409.718855E-03
-2.501800E-03,-418.256778E-03
-2.497200E-03,-409.718855E-03
-2.492600E-03,-409.718855E-03
-2.488000E-03,-418.272117E-03
-2.483400E-03,-391.479199E-03
-2.478800E-03,-435.377274E-03
-2.474200E-03,-441.164903E-03
-2.469600E-03,-391.494641E-03
-2.465000E-03,-364.676261E-03
-2.460400E-03,-329.421001E-03
-2.455800E-03,-329.421001E-03
-2.451200E-03,-329.421001E-03
-2.446600E-03,-329.421001E-03
-2.442000E-03,-347.493042E-03
-2.437400E-03,-329.421001E-03
-2.432800E-03,-360.821033E-03
-2.428200E-03,-347.477703E-03
-2.423600E-03,-329.421001E-03
-2.419000E-03,-352.117818E-03
-2.414400E-03,-289.137797E-03
-2.409800E-03,-329.421001E-03
-2.405200E-03,-289.137797E-03
-2.400600E-03,-311.273997E-03
-2.396000E-03,-284.455103E-03
-2.391400E-03,-352.056256E-03
-2.386800E-03,-249.123148E-03
-2.382200E-03,-253.790504E-03
-2.377600E-03,-249.123148E-03
-2.373000E-03,-267.118494E-03
-2.368400E-03,-289.137797E-03
-2.363800E-03,-289.137797E-03
-2.359200E-03,-267.103156E-03
-2.354600E-03,-249.123148E-03
-2.350000E-03,-280.431146E-03
-2.345400E-03,-253.087892E-03
-2.340800E-03,-253.744487E-03
-2.336200E-03,-262.913290E-03
-2.331600E-03,-267.072478E-03
-2.327000E-03,-173.431295E-03
-2.322400E-03,-231.589850E-03
-2.317800E-03,-213.134804E-03
-2.313200E-03,-208.839944E-03
-2.308600E-03,-177.577963E-03
-2.304000E-03,-186.743947E-03
-2.299400E-03,-173.400617E-03
-2.294800E-03,-177.593301E-03
-2.290200E-03,-208.839944E-03
-2.285600E-03,-208.839944E-03
-2.281000E-03,-200.056598E-03
-2.276400E-03,-186.713269E-03
-2.271800E-03,-173.369940E-03
-2.267200E-03,-177.623979E-03
-2.262600E-03,-168.825295E-03
-2.258000E-03,-168.825295E-03
-2.253400E-03,-168.825295E-03
-2.248800E-03,-190.982648E-03
-2.244200E-03,-173.339262E-03
-2.239600E-03,-168.825295E-03
-2.235000E-03,-164.345751E-03
-2.230400E-03,-93.026070E-03
-2.225800E-03,-88.527441E-03
-2.221200E-03,-106.354060E-03
-2.216600E-03,-164.311916E-03
-2.212000E-03,-119.682051E-03
-2.207400E-03,-106.338721E-03
-2.202800E-03,-133.040027E-03
-2.198200E-03,-88.527441E-03
-2.193600E-03,-106.323382E-03
-2.189000E-03,-124.089479E-03
-2.184400E-03,-128.542091E-03
-2.179800E-03,-110.761489E-03
-2.175200E-03,-124.104818E-03
-2.170600E-03,-137.507920E-03
-2.166000E-03,-106.292705E-03
-2.161400E-03,-92.949375E-03
-2.156800E-03,-97.448837E-03
-2.152200E-03,-110.792166E-03
-2.147600E-03,-124.135496E-03
-2.143000E-03,-88.527441E-03
-2.138400E-03,-110.807505E-03
-2.133800E-03,-124.150835E-03
-2.129200E-03,-119.590017E-03
-2.124600E-03,-88.527441E-03
-2.120000E-03,-88.527441E-03
-2.115400E-03,-128.542091E-03
-2.110800E-03,-88.527441E-03
-2.106200E-03,-88.527441E-03
-2.101600E-03,-88.527441E-03
-2.097000E-03,-110.853522E-03
-2.092400E-03,-88.527441E-03
-2.087800E-03,-88.527441E-03
-2.083200E-03,-70.735599E-03
-2.078600E-03,-92.857342E-03
-2.074000E-03,-70.440091E-03
-2.069400E-03,-66.020638E-03
-2.064800E-03,-124.227529E-03
-2.060200E-03,-26.347720E-03
-2.055600E-03,-48.244237E-03
-2.051000E-03,-119.914791E-03
-2.046400E-03,-26.378500E-03
-2.041800E-03,-106.154655E-03
-2.037200E-03,-12.513472E-03
-2.032600E-03,-17.289034E-03
-2.028000E-03,-128.542091E-03
-2.023400E-03,-12.498133E-03
-2.018800E-03,-17.304373E-03
-2.014200E-03,-53.216273E-03
-2.009600E-03,-48.244237E-03
-2.005000E-03,-48.244237E-03
-2.000400E-03,-53.247054E-03
-1.995800E-03,-12.467455E-03
-1.991200E-03,-17.335050E-03
-1.986600E-03,-8.229588E-03
-1.982000E-03,-12.452116E-03
-1.977400E-03,-17.350389E-03
-1.972800E-03,-8.229588E-03
-1.968200E-03,-120.099476E-03
