x-axis,1,2,F1
second,Volt,Volt,Volt
-250.0000E-03,+253.7439E-03,+3.2169596E+00,-650.4041E-03
-249.7500E-03,+253.7439E-03,+2.9556531E+00,-2.7317029E+00
-249.5000E-03,+233.6434E-03,+2.7345476E+00,-2.5308973E+00
-249.2500E-03,+203.4926E-03,+2.5737436E+00,-2.3701307E+00
-249.0000E-03,+173.3418E-03,+2.3325375E+00,-2.1291639E+00
-248.7500E-03,+143.1911E-03,+2.0913315E+00,-2.0186292E+00
-248.5000E-03,+153.2413E-03,+1.9305275E+00,-1.8479139E+00
-248.2500E-03,+173.3418E-03,+1.8300250E+00,-1.6872693E+00
-248.0000E-03,+133.1408E-03,+1.6893215E+00,-1.6069471E+00
-247.7500E-03,+123.0906E-03,+1.5687184E+00,-1.4563123E+00
-247.5000E-03,+92.9398E-03,+1.4079144E+00,-1.3256971E+00
-247.2500E-03,+92.9398E-03,+1.2873114E+00,-1.2553846E+00
-247.0000E-03,+92.9398E-03,+1.2069094E+00,-1.1247693E+00
-246.7500E-03,+82.8896E-03,+1.0863064E+00,-1.1046888E+00
-246.5000E-03,+92.9398E-03,+1.0059044E+00,-1.0042859E+00
-246.2500E-03,+82.8896E-03,+965.7034E-03,-883.8025E-03
-246.0000E-03,+52.7388E-03,+885.3014E-03,-803.4803E-03
-245.7500E-03,+52.7388E-03,+804.8993E-03,-843.5193E-03
-245.5000E-03,+32.6383E-03,+684.2963E-03,-763.1971E-03
-245.2500E-03,+42.6886E-03,+644.0953E-03,-622.6331E-03
-245.0000E-03,+12.5378E-03,+644.0953E-03,-602.5525E-03
-244.7500E-03,+22.5881E-03,+644.0953E-03,-602.5525E-03
-244.5000E-03,+32.6383E-03,+523.4923E-03,-522.2303E-03
-244.2500E-03,+12.5378E-03,+483.2913E-03,-441.9080E-03
-244.0000E-03,+12.5378E-03,+402.8893E-03,-441.9080E-03
-243.7500E-03,+12.5378E-03,+402.8893E-03,-401.6248E-03
-243.5000E-03,-27.6632E-03,+322.4873E-03,-401.6248E-03
-243.2500E-03,+12.5378E-03,+322.4873E-03,-341.3831E-03
-243.0000E-03,-27.6632E-03,+242.0853E-03,-401.6248E-03
-242.7500E-03,-17.6129E-03,+242.0853E-03,-321.3025E-03
-242.5000E-03,-7.5627E-03,+282.2863E-03,-281.1414E-03
-242.2500E-03,-27.6632E-03,+181.7838E-03,-240.9803E-03
-242.0000E-03,-27.6632E-03,+161.6833E-03,-240.9803E-03
-241.7500E-03,-27.6632E-03,+141.5828E-03,-240.9803E-03
-241.5000E-03,-27.6632E-03,+201.8843E-03,-220.8387E-03
-241.2500E-03,-37.7134E-03,+101.3818E-03,-160.6580E-03
-241.0000E-03,-27.6632E-03,+161.6833E-03,-160.6580E-03
-240.7500E-03,-17.6129E-03,+101.3818E-03,-160.6580E-03
-240.5000E-03,-27.6632E-03,+879.3E-06,-160.5359E-03
-240.2500E-03,-27.6632E-03,+81.2813E-03,-90.3455E-03
-240.0000E-03,-27.6632E-03,+81.2813E-03,-120.3748E-03
-239.7500E-03,-57.8139E-03,+20.9798E-03,-80.3357E-03
-239.5000E-03,-47.7637E-03,+879.3E-06,-120.3748E-03
-239.2500E-03,+2.4876E-03,+879.3E-06,-80.3357E-03
-239.0000E-03,-27.6632E-03,+879.3E-06,-80.3357E-03
-238.7500E-03,-37.7134E-03,+879.3E-06,-20.0940E-03
-238.5000E-03,-27.6632E-03,+41.0803E-03,-40.1746E-03
-238.2500E-03,-27.6632E-03,-19.2212E-03,-90.3455E-03
-238.0000E-03,-27.6632E-03,-79.5228E-03,-120.3748E-03
-237.7500E-03,-27.6632E-03,-59.4222E-03,-13.5E-06
-237.5000E-03,-27.6632E-03,-39.3217E-03,-40.0525E-03
